time,x,y,speed,yaw_rate,lat_g,long_g,steering_angle,slip_ratio,distance
0.000,0.671,0.000,120.750,-0.710,0.021,-0.047,0.550,0.140,0.670
0.020,1.330,-0.137,120.110,-0.060,-0.024,-0.117,-0.850,-0.210,1.340
0.040,1.998,-0.273,121.610,0.560,-0.001,0.243,0.760,-0.210,2.010
0.060,2.675,-0.410,123.240,0.080,0.027,0.224,-0.080,-0.030,2.700
0.080,3.339,-0.547,120.920,0.540,0.000,-0.045,-0.210,-0.270,3.370
0.100,4.005,-0.683,121.240,-0.920,-0.022,0.340,-0.510,0.250,4.040
0.120,4.688,-0.820,124.280,0.170,-0.005,0.261,-0.830,-0.110,4.730
0.140,5.365,-0.957,123.380,-1.410,-0.004,-0.059,0.410,-0.870,5.420
0.160,6.034,-1.093,121.840,-0.110,-0.019,-0.022,0.040,-0.110,6.100
0.180,6.714,-1.230,123.680,-0.900,-0.013,0.264,-0.640,-0.310,6.780
0.200,7.386,-1.367,122.490,-0.740,0.080,-0.037,-0.650,-0.490,7.460
0.220,8.061,-1.504,122.800,1.240,0.028,0.268,-0.170,-0.370,8.150
0.240,8.743,-1.640,124.180,1.090,-0.015,0.312,0.830,0.030,8.840
0.260,9.409,-1.777,121.270,0.610,0.035,-0.084,-0.130,0.400,9.510
0.280,10.078,-1.914,121.870,-1.090,-0.017,0.264,-0.750,0.090,10.190
0.300,10.759,-2.050,123.930,-0.320,0.059,0.222,-0.120,-0.180,10.880
0.320,11.438,-2.187,123.580,1.210,0.018,-0.033,-0.140,0.140,11.560
0.340,12.129,-2.324,125.890,0.140,-0.005,0.222,-1.350,-0.140,12.260
0.360,12.813,-2.460,124.370,2.320,0.022,-0.063,-0.030,-0.210,12.950
0.380,13.493,-2.597,123.930,0.390,-0.079,-0.059,-0.120,-0.350,13.640
0.400,14.200,-2.734,128.570,0.190,-0.056,0.279,0.350,-0.530,14.360
0.420,14.894,-2.870,126.350,-0.310,-0.060,-0.022,0.920,-0.120,15.060
0.440,15.592,-3.007,127.110,0.130,0.007,0.213,0.560,0.050,15.760
0.460,16.280,-3.144,125.190,-0.150,0.087,-0.048,-0.130,-0.030,16.460
0.480,16.977,-3.280,126.830,0.710,0.112,0.229,-0.550,-0.120,17.160
0.500,17.681,-3.417,128.130,0.960,0.032,0.212,1.290,-0.280,17.880
0.520,18.376,-3.554,126.550,-0.790,0.025,-0.057,0.030,0.180,18.580
0.540,19.086,-3.690,129.160,-1.330,-0.090,0.241,0.010,-0.400,19.300
0.560,19.790,-3.827,128.020,-1.840,-0.027,0.023,-0.010,0.230,20.010
0.580,20.497,-3.964,128.800,0.510,-0.039,0.263,0.100,-0.300,20.720
0.600,21.204,-4.101,128.650,-1.100,-0.031,-0.091,-0.070,-0.230,21.440
0.620,21.934,-4.237,132.650,-2.150,-0.008,0.233,-0.290,-0.440,22.170
0.640,22.649,-4.374,130.170,0.390,-0.024,-0.019,-0.270,-0.150,22.900
0.660,23.357,-4.511,128.920,2.490,-0.099,0.013,-0.020,0.290,23.610
0.680,24.083,-4.647,132.060,-0.010,0.037,0.202,-0.270,0.150,24.350
0.700,24.794,-4.784,129.320,0.840,-0.054,-0.106,-0.360,0.290,25.070
0.720,25.518,-4.921,131.780,0.080,0.012,0.306,0.050,0.160,25.800
0.740,26.226,-5.057,128.840,-0.100,0.104,-0.038,-0.130,-0.330,26.510
0.760,26.941,-5.194,130.110,0.920,-0.046,0.224,0.750,-0.100,27.240
0.780,27.671,-5.331,132.720,-0.290,-0.127,0.266,-1.330,-0.230,27.970
0.800,28.407,-5.467,133.850,0.270,-0.014,0.171,0.550,0.400,28.720
0.820,29.140,-5.604,133.310,0.320,0.055,-0.050,0.620,-0.360,29.460
0.840,29.872,-5.741,133.200,-0.670,0.098,-0.040,-1.040,0.270,30.200
0.860,30.604,-5.877,133.240,0.990,-0.061,0.278,-0.170,0.270,30.940
0.880,31.329,-6.014,131.790,-0.170,0.025,-0.080,-0.190,0.550,31.670
0.900,32.061,-6.151,133.250,-0.760,-0.023,0.253,-0.700,-0.120,32.410
0.920,32.798,-6.288,133.960,0.540,-0.005,0.222,-0.390,0.210,33.160
0.940,33.549,-6.424,136.550,-0.900,0.132,0.258,-0.560,0.680,33.910
0.960,34.295,-6.561,135.800,0.030,-0.075,-0.077,0.880,-0.190,34.670
0.980,35.026,-6.698,132.960,-0.010,0.013,-0.062,0.470,-0.460,35.410
1.000,35.776,-6.834,136.410,1.090,0.023,0.220,0.640,-0.560,36.160
1.020,36.522,-6.971,135.660,0.470,0.054,-0.030,0.360,0.210,36.920
1.040,37.268,-7.108,135.550,-0.030,0.005,-0.024,-0.560,-0.560,37.670
1.060,38.025,-7.244,137.800,0.820,0.015,0.243,-0.260,-0.110,38.440
1.080,38.788,-7.381,138.740,1.390,-0.020,0.251,0.240,0.130,39.210
1.100,39.552,-7.518,138.910,0.560,0.013,0.207,-0.610,0.060,39.980
1.120,40.303,-7.654,136.580,0.010,-0.017,-0.059,0.360,0.130,40.740
1.140,41.060,-7.791,137.690,-1.310,0.031,0.248,-0.120,0.070,41.500
1.160,41.825,-7.928,138.970,-1.070,-0.018,0.329,-0.190,0.380,42.280
1.180,42.596,-8.064,140.250,-0.310,0.019,0.217,0.360,-0.290,43.050
